job_title,experience_level,employment_type,company_size,company_location,remote_ratio,salary_currency,years_experience,base_salary,bonus,stock_options,total_salary,salary_in_usd,currency,education,skills,conversion_rate,adjusted_total_usd
Data Analyst,Junior,Full-time,Large,United States,100,USD,3,90000,3000,2000,95000,95000,USD,, ,1,95000
DevOps Engineer,Junior,Full-time,Large,United States,100,USD,4,95000,5000,2500,102500,102500,USD,, ,1,102500
Research Scientist,Senior,Contract,Medium,United States,100,USD,6,150000,7000,10000,167000,167000,USD,, ,1,167000
Software Engr,Junior,Part-time,Small,United States,100,GBP,2,85000,4000,3000,92000,119600,GBP,, ,1.3,119600
ML Engineer,Junior,Full-time,Medium,United States,100,USD,5,98000,8000,5000,111000,111000,USD,, ,1,111000
Data Analyst,Senior,Full-time,Large,United States,100,USD,6,100000,4000,6000,110000,110000,USD,, ,1,110000
DevOps Engineer,Senior,Contract,Medium,United States,100,GBP,7,110000,7000,7000,124000,160000,GBP,, ,1.3,160000
Software Engr,Senior,Full-time,Large,United States,100,USD,8,130000,9000,6000,145000,145000,USD,, ,1,145000
Dt Scientist,Junior,Full-time,Medium,United States,100,USD,3,98000,3000,4000,105000,105000,USD,, ,1,105000
Data Analyst,Junior,Contract,Medium,United States,100,USD,2,85000,2000,3000,90000,90000,USD,, ,1,90000
